"","Value","Average","Timeseries"
"1",31,178,"1999-01-01"
"2",58,191,"1999-02-01"
"3",73,98,"1999-03-01"
"4",102,63,"1999-04-01"
"5",138,6,"1999-05-01"
"6",174,7,"1999-06-01"
"7",214,71,"1999-07-01"
"8",200,78,"1999-08-01"
"9",153,15,"1999-09-01"
"10",121,68,"1999-10-01"
"11",94,199,"1999-11-01"
"12",45,173,"1999-12-01"
"13",30,175,"2000-01-01"
"14",60,194,"2000-02-01"
"15",88,187,"2000-03-01"
"16",108,107,"2000-04-01"
"17",150,162,"2000-05-01"
"18",176,64,"2000-06-01"
"19",209,54,"2000-07-01"
"20",211,120,"2000-08-01"
"21",157,72,"2000-09-01"
"22",122,87,"2000-10-01"
"23",53,44,"2000-11-01"
"24",2,45,"2000-12-01"
"25",11,95,"2001-01-01"
"26",32,51,"2001-02-01"
"27",65,2,"2001-03-01"
"28",110,122,"2001-04-01"
"29",149,151,"2001-05-01"
"30",178,74,"2001-06-01"
"31",215,81,"2001-07-01"
"32",214,133,"2001-08-01"
"33",159,79,"2001-09-01"
"34",119,54,"2001-10-01"
"35",90,192,"2001-11-01"
"36",46,174,"2001-12-01"
"37",34,186,"2002-01-01"
"38",47,149,"2002-02-01"
"39",59,38,"2002-03-01"
"40",114,144,"2002-04-01"
"41",134,25,"2002-05-01"
"42",189,139,"2002-06-01"
"43",226,135,"2002-07-01"
"44",198,75,"2002-08-01"
"45",167,121,"2002-09-01"
"46",104,40,"2002-10-01"
"47",68,56,"2002-11-01"
"48",39,142,"2002-12-01"
"49",23,153,"2003-01-01"
"50",22,28,"2003-02-01"
"51",76,115,"2003-03-01"
"52",105,79,"2003-04-01"
"53",143,76,"2003-05-01"
"54",172,14,"2003-06-01"
"55",224,117,"2003-07-01"
"56",217,148,"2003-08-01"
"57",154,48,"2003-09-01"
"58",128,144,"2003-10-01"
"59",70,70,"2003-11-01"
"60",40,150,"2003-12-01"
"61",6,53,"2004-01-01"
"62",30,10,"2004-02-01"
"63",90,193,"2004-03-01"
"64",109,111,"2004-04-01"
"65",146,114,"2004-05-01"
"66",173,12,"2004-06-01"
"67",199,20,"2004-07-01"
"68",183,37,"2004-08-01"
"69",158,77,"2004-09-01"
"70",124,96,"2004-10-01"
"71",80,137,"2004-11-01"
"72",38,140,"2004-12-01"
"73",29,170,"2005-01-01"
"74",52,182,"2005-02-01"
"75",69,78,"2005-03-01"
"76",107,94,"2005-04-01"
"77",136,17,"2005-05-01"
"78",177,73,"2005-06-01"
"79",222,113,"2005-07-01"
"80",203,91,"2005-08-01"
"81",170,145,"2005-09-01"
"82",125,97,"2005-10-01"
"83",84,171,"2005-11-01"
"84",21,46,"2005-12-01"
"85",55,201,"2006-01-01"
"86",37,88,"2006-02-01"
"87",71,93,"2006-03-01"
"88",123,185,"2006-04-01"
"89",147,127,"2006-05-01"
